dt,"time",device_name,house_number,user_id,country_code,program_title,season,season_episode,genre,product_type
2018-10-01,13:36:05,samsung2017xdk,0142201810011330,riS3DOtdxRQkweOW_FCjWAOg2Ohi_j5g,no,Solsidan,"","",Other,svod
2018-10-01,16:00:27,ios,20501972,6d19IO8CkIQ1OlH5_xv2_SHgcEMI6teF,se,Paradise Hotel Sverige,9,S09E02,Own Production,svod
2018-10-01,10:14:21,chromecast,20273663,5JZ3Mpl2wRMdwdqho1RlqY_KJFRk_39y,se,The X-Files,6,S06E21,Series Other,svod
2018-10-01,11:40:54,chromecast,20273666,5JZ3Mpl2wRMdwdqho1RlqY_KJFRk_39y,se,The X-Files,7,S07E01,Series Other,svod
2018-10-01,03:33:55,ios,20468617,59H2VISfMFh3tz4ruJD3bYQ7BUZfjHDn,se,The Good Doctor,1,S01E06,Series Other,svod
2018-10-01,19:29:51,pcdash,20273631,5BoLUF5GbDWT8l9egi2wknSBwWTZPmd_,se,The X-Files,5,S05E10,Series Other,svod
2018-10-01,16:27:08,ios,20505395,s7niDuhCj4iOYO9fqkRVUaj2sAbP5TY9,no,Love Island Norge,1,S01E15,Own Production,svod
2018-10-01,23:54:48,androiddash,V32366,UZr_HIDWNQ6IcaDpDVvuo9QH3KsQ21P2,se,The Mighty Ducks,"","",Movies Other,svod
2018-10-01,14:31:17,samsung2017xdk,20429463,I9DHfW4QVQ1X8Shd7CerjA9eLK5S95eV,fi,The Fosters,4,S04E02,Series Other,svod
2018-10-01,04:32:23,samsung2017xdk,20197473,CDE100812DCCB699,no,PAW Patrol,1,S01E11,Series Kids,svod
2018-10-01,19:31:07,ios,20444062,40IOxMLfINU7WvIFuUuv45hUd3Z9zaYo,no,Ice Age: The Meltdown,"","",Movies Kids,svod
2018-10-01,16:25:43,chromecast,S22371,8Stg_bCjF_ZrYalPUXQZOBwOOlFxoQEd,no,Seinfeld,4,S04E10,Series Other,svod
2018-10-01,17:46:41,pcdash,20212124,16yvOVmGvtua8RdL3aeyUR5SLBDDxXAg,no,The Fosters,2,S02E08,Series Other,svod
2018-10-01,18:15:34,androiddash,20519544,F939AEF3202CD1F1,dk,Robinson Ekspeditionen,20,S20E06,Own Production,svod
2018-10-01,08:42:40,ios,20303980,wiFazh_11D9jSSnMRx52fcBwowGr18zD,no,Winx Club,5,S05E07,Series Kids,svod
2018-10-01,19:05:41,ps4xdk,20514850,o_hlA283cc8SNvToW01HG1R7F8Nu6AIQ,se,Ingen utan skuld,1,S01E02,Series Other,svod
2018-10-01,18:35:24,androiddash,20519543,o0ZSU2APqzVdxe4BjVgE5X7Mm0u3MP_Z,dk,Robinson Ekspeditionen,20,S20E05,Own Production,svod
2018-10-01,17:35:49,pcdash,20538770,0C514A1E31086C09,dk,Superliga Live,2015,"",Sports,svod
2018-10-01,18:07:06,pchls,20449529,141EFCDD51D5F721,dk,X-Men: First Class,"","",Movies Other,svod
2018-10-01,16:29:14,atv,V23714,c3jDrqpwbJU_fer9bFuviXTDnVjWHzTL,no,Haven,2,S02E06,Series Other,svod
2018-10-01,03:02:27,atv,20425372,tGfpmhXyQo10RC7x8rFeOQfvgATbnmhE,se,Seinfeld,9,S09E10,Series Other,svod
2018-10-01,03:24:33,atv,20425373,tGfpmhXyQo10RC7x8rFeOQfvgATbnmhE,se,Seinfeld,9,S09E11,Series Other,svod
2018-10-01,23:05:26,ios,20382814,cqTcyJnvroB4MOe9ZL1FNHJ8pEZZFtDy,dk,How I Met Your Mother,5,S05E19,Series Other,svod
2018-10-01,14:03:55,ios,20429982,56B2E3EAA074ACAE,dk,SpongeBob SquarePants,1,S01E16,Series Kids,svod
2018-10-01,20:38:14,samsung2016xdk,20339210,B6ACD3DEF1E56BDE,dk,Robinson Ekspeditionen,18,S18E10,Own Production,svod
2018-10-01,06:09:02,pcdash,20501982,Iw9we07PA7hekamUAeMEIKFPIz_yNDFz,se,Paradise Hotel Sverige,9,S09E12,Own Production,svod
2018-10-01,18:58:46,pcdash,V20023,43DIKR5i1QRz_7SIpjHkNY7TI7j2hN4x,dk,X2,"","",Movies Other,svod
2018-10-01,18:24:26,lg2016xdk,20292380,_F9nX7ybnnuRSzidT9nXDMH54S_lkqSy,fi,Scrubs,2,S02E21,Series Other,svod
2018-10-01,22:29:32,lg2016xdk,V27268,_F9nX7ybnnuRSzidT9nXDMH54S_lkqSy,fi,Scrubs,3,S03E10,Series Other,svod
2018-10-01,16:03:24,ios,20258402,CCFC6690D3BA0C86,se,NCIS,13,S13E22,Series Other,svod
2018-10-01,03:44:41,samsung2013xdk,20236871,4cf8UBlsSuqbH9nbDOIIai_ip8HduD1P,fi,Peppa Pig,1,S01E40,Series Kids,svod
2018-10-01,04:20:49,samsung2013xdk,20236878,4cf8UBlsSuqbH9nbDOIIai_ip8HduD1P,fi,Peppa Pig,1,S01E47,Series Kids,svod
2018-10-01,03:49:42,samsung2013xdk,20236872,4cf8UBlsSuqbH9nbDOIIai_ip8HduD1P,fi,Peppa Pig,1,S01E41,Series Kids,svod
2018-10-01,13:52:57,samsung2013xdk,20236883,4cf8UBlsSuqbH9nbDOIIai_ip8HduD1P,fi,Peppa Pig,1,S01E52,Series Kids,svod
2018-10-01,06:25:32,samsung2013xdk,20506284,4cf8UBlsSuqbH9nbDOIIai_ip8HduD1P,fi,Cam & Leon,1,S01E34,Series Kids,svod
2018-10-01,05:00:55,samsung2013xdk,20236881,4cf8UBlsSuqbH9nbDOIIai_ip8HduD1P,fi,Peppa Pig,1,S01E50,Series Kids,svod
2018-10-01,05:10:41,samsung2013xdk,20506258,4cf8UBlsSuqbH9nbDOIIai_ip8HduD1P,fi,Cam & Leon,1,S01E08,Series Kids,svod
2018-10-01,17:15:13,lg2014xdk,20514852,avQlU0c1no6HSyUPWBUTGyRAoOZS_uu7,se,Ingen utan skuld,1,S01E04,Series Other,svod
2018-10-01,07:58:20,samsung2016xdk,V11114,2W98CPfW_ijo_tuSEGQQDmblvSmsPr9A,dk,Unforgettable,1,S01E02,Series Other,svod
2018-10-01,16:43:50,ios,20519543,9N_iOWK3iqKrqRYZ5gbTYqkSRjG1FmmT,dk,Robinson Ekspeditionen,20,S20E05,Own Production,svod
2018-10-01,14:59:24,ios,0028201810011500,wv2v1XcnGOEhWy3gbET35sQaObz68ntP,se,Tunnelbanan,"","",Other,svod
2018-10-01,17:35:32,ios,0029201810011700,wv2v1XcnGOEhWy3gbET35sQaObz68ntP,se,Arga snickaren,"","",Other,svod
2018-10-01,12:09:03,ios,0155201810011000,wv2v1XcnGOEhWy3gbET35sQaObz68ntP,se,Cops,"","",Other,svod
2018-10-01,16:02:36,ios,20514517,1C5786BEA407EC8D,dk,Hånd i hånd,1,S01E05,Series Other,svod
2018-10-01,13:48:01,androiddash,20437823,U35Wq_Ilw0I89N_Km_mM3Ne8bNDxB8PQ,no,Blaze and the Monster Machines,2,S02E14,Series Kids,svod
2018-10-01,18:24:21,ios,20477757,RyANhBULGNWICb_5OMhJ7Bz6B1PUAgDZ,se,The Nut Job 2: Nutty By Nature,"","",Movies Kids,svod
2018-10-01,13:56:44,atv,20409232,7zlen5zAAcyNDSNRZEaDZPBOuhBBUjBB,dk,Bordertown,1,S01E13,Series Other,svod
2018-10-01,18:18:47,chromecast,20519544,BcXpvS6PMTWtaQdAyRon546O2x8h0E3Q,dk,Robinson Ekspeditionen,20,S20E06,Own Production,svod
2018-10-01,15:39:16,atv,20408973,vNgsiMgCp1dEhULUnOuQbK3JWOnzEdvN,dk,Family Guy,15,S15E10,Series Other,svod
2018-10-01,13:17:32,pcdash,20538742,MRgoKjkKBt8DlERNC_UVThaYqxwzMZsJ,dk,Sportmagasin golf,"","",Sports,svod
2018-10-01,17:15:35,atv,20236841,AC0138C328F35D56,se,Peppa Pig,1,S01E10,Series Kids,svod
2018-10-01,19:56:11,pcdash,20467214,It0IVyE242BuFqAg6OHI1IyBUNiyVOtD,no,Rock Dog,"","",Movies Kids,svod
2018-10-01,09:57:05,pcdash,20382094,7O9szMm11nKdQ_2VgwrJMmwx9QJsvRxE,se,Glee,3,S03E11,Series Other,svod
2018-10-01,21:32:10,ps4xdk,0276201810012100,ZlnxQ6NPCFIfVzn9sPoZaGycMaldtYNd,dk,The Late Late Show with James Corden,"","",Other,svod
2018-10-01,19:55:41,chromecast,20519544,ZlnxQ6NPCFIfVzn9sPoZaGycMaldtYNd,dk,Robinson Ekspeditionen,20,S20E06,Own Production,svod
2018-10-01,08:33:49,ios,20490045,6E6235927F1CDEC6,dk,Danske Hollywoodfruer,3,S03E05,Own Production,svod
2018-10-01,21:09:03,ios,20505416,UCnfEoXbHUwNIzl3v8Tzkqc7IGFmZQj_,no,Love Island Norge,1,S01E33,Own Production,svod
2018-10-01,23:03:08,ps4xdk,20509494,HnNB2cEHRNA6PInMqY_DbvzYbvKVbtRB,no,Brickleberry,2,S02E05,Series Other,svod
2018-10-01,17:24:59,pcdash,20480539,q5Q_65oVc0_r3F0vOh_2iXmsXJYoTEJz,dk,Hunter Street,1,S01E05,Series Kids,svod
2018-10-01,14:12:38,samsung2017xdk,V11010,l2j3sHL24h5lq3q2XXP_JL6JwdOgt5Iq,dk,The Blacklist,1,S01E10,Series Other,svod
2018-10-01,12:31:20,atv,20522748,cgZdlODHxw55kCJM2HYRO1VLFPy0bX7W,no,S.W.A.T.,2,S02E01,Series Other,svod
2018-10-01,20:37:11,chromecast,20282672,dJmahealqGpEz1Y_4looG74mdH8lqn62,dk,The Shannara Chronicles,1,S01E07,Series Other,svod
2018-10-01,05:39:14,pcdash,S29485,S16ujxuL0VBlsf_YqhmoQe0tDnRSdNQh,se,Kniven mot strupen,3,S03E07,Own Production,svod
2018-10-01,22:39:40,pcdash,S49819,S16ujxuL0VBlsf_YqhmoQe0tDnRSdNQh,se,Kniven mot strupen,4,S04E02,Own Production,svod
2018-10-01,15:58:01,samsung2017xdk,20470914,szfaryu03InLTp_M5dPtNj65Fx2Frbnb,no,Futurama,8,S08E01,Series Other,svod
2018-10-01,11:36:29,chromecast,20488879,Iig2O82AuGEocmdk_4Vhj6FYNL19EEJu,no,Only The Brave,"","",Movies Other,svod
2018-10-01,19:44:05,pchls,20519544,HeJlY356SQcu5PxaoGvnoX560Twa8Pkb,dk,Robinson Ekspeditionen,20,S20E06,Own Production,svod
2018-10-01,19:11:07,lg2016xdk,20509605,4jIAQlsm8qY4OekZUGHB3d3H9upRBxos,dk,The Cleveland Show,4,S04E19,Series Other,svod
2018-10-01,16:50:26,samsung2017xdk,V44535,WvPbE9_20wxjOb6v9i8295ZnDbDbtZzo,se,Dora the Explorer,3,S03E07,Series Kids,svod
2018-10-01,04:35:18,androiddash,20468423,Wowa4k598iKSe_S5T4hXC2hpnMvDpIr4,se,S.W.A.T.,1,S01E08,Series Other,svod
2018-10-01,16:35:19,atv,V40088,q1M9GSOH6OYdqgHu46ZAipRNr0v4nxbq,se,How I Met Your Mother,3,S03E01,Series Other,svod
2018-10-01,20:59:22,atv,V40098,q1M9GSOH6OYdqgHu46ZAipRNr0v4nxbq,se,How I Met Your Mother,3,S03E11,Series Other,svod
2018-10-01,20:08:26,androiddash,20501982,ceTf_7PjhV7RK1CRGh4vmJWwdRaRdOFA,se,Paradise Hotel Sverige,9,S09E12,Own Production,svod
2018-10-01,17:32:32,ios,20477269,3tceJoIx6gi4Gxe6pWySCW9fYDruRm8C,se,Wind River,"","",Movies Other,svod
2018-10-01,19:08:35,samsung2016xdk,20538390,4744772D00622C0A,no,NHL Live,2015,"",Sports,svod
2018-10-01,19:02:45,atv,V27325,_4JU1DIGGj2Y7dV_8_6unM6X9_Xobh7K,se,Scrubs,5,S05E20,Series Other,svod
2018-10-01,17:11:36,ios,20328026,B4B5A84F4F3FBB83,dk,PAW Patrol,3,S03E16,Series Kids,svod
2018-10-01,15:19:47,panasonic2014,20365248,3275EFB714EBA42D,dk,Lego Marvel Super Heroes: Maximum Overload,"","",Movies Kids,svod
2018-10-01,18:01:35,atv,0182201810011800,072A4E98169D34A8,se,Bilprovningen,"","",Other,svod
2018-10-01,05:33:32,ios,S84217,Hs5bgi1AdFiuW_sZXUXJ9PdVoT5R9c0p,dk,Family Guy,10,S10E10,Series Other,svod
2018-10-01,09:01:19,samsung2014xdk,20477269,eSiLKCM__3lywaLokuZq64NsUfU00jIa,dk,Wind River,"","",Movies Other,svod
2018-10-01,06:47:35,atv,20523225,irRET_fe1G4AB5L1mdURhfMm2vY_ps3F,fi,Fireman Sam,8,S08E13,Series Kids,svod
2018-10-01,16:46:21,atv,V45186,irRET_fe1G4AB5L1mdURhfMm2vY_ps3F,fi,SpongeBob SquarePants,6,S06E05,Series Kids,svod
2018-10-01,08:33:29,atv,20236871,irRET_fe1G4AB5L1mdURhfMm2vY_ps3F,fi,Peppa Pig,1,S01E40,Series Kids,svod
2018-10-01,14:34:33,atv,20523491,irRET_fe1G4AB5L1mdURhfMm2vY_ps3F,fi,Postman Pat: Special Delivery Service,1,S01E06,Series Kids,svod
2018-10-01,16:31:49,pchls,20519561,ozPzJE0TC2fAa9y11U5owrEDMzwLUZ44,dk,Til Middag Hos,8,S08E09,Own Production,svod
2018-10-01,17:54:33,samsung2014xdk,S43046,F145CCFE11ACBA84,dk,Ice Age,"","",Movies Kids,svod
2018-10-01,12:01:59,chromecast,20346023,tSBdRfRPebVc0Vlq9tI8iyHl1Utbx2SF,se,Alex,1,S01E03,Series Other,svod
2018-10-01,15:32:21,ios,20254605,6AAD5E8135DE8DA3,se,Quantico,1,S01E18,Series Other,svod
2018-10-01,19:11:46,atv,20538390,E58124721FA99574,se,NHL Live,2015,"",Sports,svod
2018-10-01,18:07:48,ios,V27300,jgx9grzFMYwvfDE_qzlwcn3A_FTpcOtF,dk,Scrubs,4,S04E20,Series Other,svod
2018-10-01,12:52:55,pcdashpr,20527499,naNBhq_TLZLGSORXgzzpBuoOfa8DtLfb,se,Lethal Weapon,3,S03E01,Series Other,svod
2018-10-01,18:28:56,lg2016xdk,20531306,380E73FAAAB42096,no,Charterfeber,9,S09E08,Own Production,svod
2018-10-01,18:02:06,androiddash,20519544,SPB4A4z5bvooKcZBaA9CnW6_H34QaTgr,dk,Robinson Ekspeditionen,20,S20E06,Own Production,svod
2018-10-01,05:10:28,atv,V46514,A7200cZ4_kdRTJqWwh61AzXqtATs5Fxg,se,Victorious,3,S03E20,Series Kids,svod
2018-10-01,18:20:04,pcdash,20501971,BED3439591660A2F,no,Paradise Hotel Sverige,9,S09E01,Own Production,svod
2018-10-01,23:16:18,ios,20410719,676E22AB8ED127E0,se,Bosch,3,S03E08,Series Other,svod
2018-10-01,01:27:42,samsung2015xdk,V33154,L5jZHYEnS1guX7T6HIMfCtiQ6lirzLFN,dk,Jessie,1,S01E11,Series Kids,svod
2018-10-01,14:35:05,pcdash,20507965,9CN5lTsl0BoEfYMZTe0Aw_ybn3XywNTt,se,Svenska Hollywoodfruar,12,S12E02,Own Production,svod
2018-10-01,21:29:58,pcdash,2130201810012130,8D3950CBE520F8AC,dk,Lara Croft Tomb Raider: The Cradle of Life,"","",Other,svod
2018-10-01,01:47:27,androiddash,20209154,dFy_aPicvuTbaa3H9qgYjl5LvEtDm54B,fi,South Park,2,S02E15,Series Other,svod
2018-10-01,17:10:56,ios,20247739,27146F0559E1841E,dk,Outlander,1,S01E04,Series Other,svod
2018-10-01,15:57:21,samsung2015xdk,V44098,0509CE08100DD636,fi,Dinosaur,"","",Movies Kids,svod
2018-10-01,04:49:38,atv,20500299,975962B78387CC58,dk,Forsidefruer,3,S03E01,Own Production,svod
2018-10-01,20:27:33,ios,20382113,xNoDoXFxiputIvs7pnyaBfBA_JwyWcOP,dk,Glee,4,S04E07,Series Other,svod
2018-10-01,22:04:17,samsung2014xdk,20444981,ldPneBngEJIXCPJxo2kV_ejU3N2WEiVp,dk,Forsidefruer,2,S02E07,Own Production,svod
2018-10-01,17:18:10,chromecast,20519544,u20IuYwtUjItiIldefmna_ukK_W7F5Q1,dk,Robinson Ekspeditionen,20,S20E06,Own Production,svod
2018-10-01,16:48:09,lg2016xdk,20382873,UJ6jzRewN7ARHAAPllwrvyjA65iAP_on,se,How I Met Your Mother,8,S08E03,Series Other,svod
2018-10-01,20:34:40,lg2016xdk,20382884,UJ6jzRewN7ARHAAPllwrvyjA65iAP_on,se,How I Met Your Mother,8,S08E14,Series Other,svod
2018-10-01,06:20:01,atv,20328036,5EEEEB75045AB388,se,PAW Patrol,3,S03E26,Series Kids,svod
2018-10-01,18:18:20,pcdash,20262623,QL6S0DkZRJZbm5k2QO_WxkjwoeWuSTag,no,Masterchef - Norges Beste Hobbykokk,2,S02E13,Own Production,svod
2018-10-01,03:37:30,atv,20257705,kxkoNersvAn67knnagJD6xt5MWQoO868,se,Curious George,"","",Movies Kids,svod
2018-10-01,18:49:01,ps4xdk,20538390,6IyauOgkai3hsD7LZHN7_Dbwa32Lt1mt,no,NHL Live,2015,"",Sports,svod
2018-10-01,08:44:19,androiddash,20365690,AP6SjRGur9j4GoHa6I0i4Fwd9Yk27I9x,no,Luksusfellen,16,S16E03,Own Production,svod
